ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
33,5,4,"Stylus Pro 4000, 4400, 7600, 9600",,C13T543300,0,1,4,11-мар-06,06-июл-11,110 ml,0,0,,30-дек-99,0,0,,Чернила пурпурный Epson: C13T543300,Чернила пурпурный Epson: C13T543300,ЛОЖЬ,,ЛОЖЬ
34,5,4,"Stylus Pro 4000, 7600, 9600",,C13T543700,0,1,7,11-мар-06,06-июл-11,110 ml,0,0,,30-дек-99,0,0,,Чернила серый Epson: C13T543700,Чернила серый Epson: C13T543700,ЛОЖЬ,,ЛОЖЬ
35,5,4,"Stylus Pro 4000, 7600, 9600",,C13T543100,0,1,2,11-мар-06,06-июл-11,110 ml,0,0,,30-дек-99,0,0,,Чернила черный Epson: C13T543100,Чернила черный Epson: C13T543100,ЛОЖЬ,,ЛОЖЬ
36,5,4,"Stylus Pro 4000, 7600, 9600",,C13T543500,0,1,8,11-мар-06,06-июл-11,110 ml,0,0,,30-дек-99,0,0,,Чернила светло-голубой Epson: C13T543500,Чернила светло-голубой Epson: C13T543500,ЛОЖЬ,,ЛОЖЬ
37,5,4,"Stylus Pro 4000, 7600, 9600",,C13T543600,0,1,9,11-мар-06,06-июл-11,110 ml,0,0,,30-дек-99,0,0,,Чернила светло-пурпурный Epson: C13T543600,Чернила светло-пурпурный Epson: C13T543600,ЛОЖЬ,,ЛОЖЬ
38,1,1,"LaserJet 2300, 2300d, 2300dn, 2300dtn, 2300L, 2300n",,Q2610A,6000,1,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: Q2610A,Картридж черный HP: Q2610A,ЛОЖЬ,,ЛОЖЬ
39,6,5,"WorkCentre Pro 315, 320",,013R00577,27000,1,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Фотобарабан черный Xerox: 013R00577,Фотобарабан черный Xerox: 013R00577,ЛОЖЬ,,ЛОЖЬ
40,6,2,"WorkCentre Pro 315, 320",,006R01044,6000,2,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Тонер черный Xerox: 006R01044,Тонер черный Xerox: 006R01044,ЛОЖЬ,,ЛОЖЬ
41,5,1,"Stylus Color 1160, 1520, 740, 760, 860",,C13T051142,1260,2,2,26-апр-06,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T051142,Картридж черный Epson: C13T051142,ЛОЖЬ,,ЛОЖЬ
42,1,1,"DesignJet 500 24"", 42"", Plus 24"", Plus 42"", ps 24"", ps 42"", ps PLUS 24"", ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 800 42"", 800PS 24"", 800PS 42""",,C4911A,1750,1,3,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж голубой HP: C4911A,Картридж голубой HP: C4911A,ЛОЖЬ,,ЛОЖЬ
43,5,2,"AcuLaser C1900, C1900D, C1900PS, C1900S, C1900WiFi, C900, C900N",,C13S050097,4500,1,5,11-мар-06,12-июн-06,,0,0,,30-дек-99,0,0,,Тонер желтый Epson: C13S050097,Тонер желтый Epson: C13S050097,ЛОЖЬ,,ЛОЖЬ
44,5,2,"AcuLaser C1900, C1900D, C1900PS, C1900S, C1900WiFi, C900, C900N",,C13S050098,4500,1,4,11-мар-06,12-июн-06,,0,0,,30-дек-99,0,0,,Тонер пурпурный Epson: C13S050098,Тонер пурпурный Epson: C13S050098,ЛОЖЬ,,ЛОЖЬ
45,5,2,"AcuLaser C1900, C1900D, C1900PS, C1900S, C1900WiFi, C900, C900N",,C13S050099,4500,1,3,11-мар-06,12-июн-06,,0,0,,30-дек-99,0,0,,Тонер голубой Epson: C13S050099,Тонер голубой Epson: C13S050099,ЛОЖЬ,,ЛОЖЬ
46,5,2,"AcuLaser C1900, C1900D, C1900PS, C1900S, C1900WiFi, C900, C900N",,C13S050100,4500,1,2,11-мар-06,12-июн-06,,0,0,,30-дек-99,0,0,,Тонер черный Epson: C13S050100,Тонер черный Epson: C13S050100,ЛОЖЬ,,ЛОЖЬ
